" Datos Básicos  - Campamentos de Turismo"
"Datos de: INDICADOR=CAMPAMENTOS DE TURISMO"
"FAMILIA INDICADOR",,"TURISMO",
"INDICADOR",,"CAMPAMENTOS DE TURISMO",
,,VALOR,
FECHA,MUNICIPIO,Sum,
"2000","05019 AVILA",           1,
,"05022 BARRACO (EL)",           1,
,"05041 BURGOHONDO",           1,
,"05054 CASAVIEJA",           1,
,"05089 GUISANDO",           1,
,"05101 HOYOCASERO",           1,
,"05105 HOYOS DEL ESPINO",           1,
,"05110 LANZAHITA",           1,
,"05113 LLANOS DE TORMES (LOS)",           1,
,"05132 MOMBELTRAN",           1,
,"05159 NAVALONGUILLA",           1,
,"05163 NAVALUENGA",           1,
,"05165 NAVARREDONDA DE GREDOS",           1,
,"05184 PEGUERINOS",           2,
,"09016 AMEYUGO",           1,
,"09018 ARANDA DE DUERO",           1,
,"09025 ARIJA",           1,
,"09059 BURGOS",           2,
,"09063 CAVIA",           1,
,"09091 CASTROJERIZ",           1,
,"09113 COVARRUBIAS",           1,
,"09134 FRIAS",           1,
,"09211 MELGAR DE FERNAMENTAL",           1,
,"09214 MERINDAD DE MONTIJA",           1,
,"09224 MONASTERIO DE RODILLA",           1,
,"09251 PANCORBO",           1,
,"09289 QUINTANAR DE LA SIERRA",           1,
,"09394 TRESPADERNE",           1,
,"09903 VILLARCAYO DE MERINDAD DE CASTILLA LA VIEJA",           1,
,"24015 BENAVIDES",           1,
,"24020 BOCA DE HUERGANO",           1,
,"24021 BOÑAR",           1,
,"24038 CARRACEDELO",           1,
,"24039 CARRIZO",           1,
,"24082 HOSPITAL DE ORBIGO",           1,
,"24094 MANSILLA DE LAS MULAS",           1,
,"24114 POLA DE GORDON (LA)",           1,
,"24116 POSADA DE VALDEON",           2,
,"24121 PUEBLA DE LILLO",           2,
,"24139 SAHAGUN",           1,
,"24152 SANTA COLOMBA DE SOMOZA",           1,
,"24158 SANTA MARIA DE ORDAS",           1,
,"24164 SENA DE LUNA",           2,
,"24171 TRABADELO",           1,
,"24175 VALDEFRESNO",           1,
,"24179 VALDEPIELAGO",           2,
,"24188 VALENCIA DE DON JUAN",           1,
,"24193 VECILLA (LA)",           1,
,"24194 VEGACERVERA",           1,
,"24196 VEGA DE ESPINAREDA",           1,
,"24205 VILLADANGOS DEL PARAMO",           1,
,"24212 VILLAMAÑAN",           1,
,"24214 VILLAMEJIL",           1,
,"24223 VILLAREJO DE ORBIGO",           1,
,"24901 VILLAMANIN",           1,
,"34004 AGUILAR DE CAMPOO",           1,
,"34047 CARRION DE LOS CONDES",           1,
,"34056 CERVERA DE PISUERGA",           1,
