" Datos Básicos  - Consultorios"
"Datos de: INDICADOR=CONSULTORIOS"
"FAMILIA INDICADOR",,"SANIDAD",
"INDICADOR",,"CONSULTORIOS",
,,VALOR,
FECHA,MUNICIPIO,Sum,
"2000","05001 ADANERO",           1,
,"05002 ADRADA (LA)",           1,
,"05005 ALBORNOS",           1,
,"05007 ALDEANUEVA DE SANTA CRUZ",           1,
,"05008 ALDEASECA",           1,
,"05010 ALDEHUELA (LA)",           1,
,"05012 AMAVIDA",           1,
,"05013 ARENAL (EL)",           1,
,"05014 ARENAS DE SAN PEDRO",           3,
,"05015 AREVALILLO",           1,
,"05017 AVEINTE",           1,
,"05018 AVELLANEDA",           1,
,"05019 AVILA",           7,
,"05022 BARRACO (EL)",           1,
,"05023 BARROMAN",           1,
,"05024 BECEDAS",           2,
,"05025 BECEDILLAS",           1,
,"05026 BERCIAL DE ZAPARDIEL",           1,
,"05027 BERLANAS (LAS)",           2,
,"05029 BERNUY-ZAPARDIEL",           1,
,"05030 BERROCALEJO DE ARAGONA",           1,
,"05033 BLASCOMILLAN",           2,
,"05034 BLASCONUÑO DE MATACABRAS",           1,
,"05035 BLASCOSANCHO",           1,
,"05036 BOHODON (EL)",           1,
,"05037 BOHOYO",           4,
,"05038 BONILLA DE LA SIERRA",           3,
,"05039 BRABOS",           1,
,"05040 BULARROS",           2,
,"05042 CABEZAS DE ALAMBRE",           1,
,"05043 CABEZAS DEL POZO",           1,
,"05044 CABEZAS DEL VILLAR",           1,
,"05045 CABIZUELA",           1,
,"05046 CANALES",           1,
,"05047 CANDELEDA",           1,
,"05048 CANTIVEROS",           1,
,"05049 CARDEÑOSA",           1,
,"05051 CARRERA (LA)",           1,
,"05052 CASAS DEL PUERTO",           1,
,"05053 CASASOLA",           2,
,"05054 CASAVIEJA",           1,
,"05055 CASILLAS",           1,
,"05056 CASTELLANOS DE ZAPARDIEL",           1,
,"05058 CEPEDA LA MORA",           1,
,"05059 CILLAN",           1,
,"05060 CISLA",           1,
,"05061 COLILLA (LA)",           1,
,"05062 COLLADO DE CONTRERAS",           1,
,"05063 COLLADO DEL MIRON",           1,
,"05064 CONSTANZANA",           2,
,"05065 CRESPOS",           3,
,"05066 CUEVAS DEL VALLE",           1,
,"05067 CHAMARTIN",           1,
,"05069 DONJIMENO",           1,
,"05070 DONVIDAS",           1,
,"05072 ESPINOSA DE LOS CABALLEROS",           1,
,"05073 FLORES DE AVILA",           2,
,"05075 FRESNEDILLA",           1,
,"05076 FRESNO (EL)",           1,
,"05077 FUENTE EL SAUZ",           1,
,"05078 FUENTES DE AÑO",           1,
,"05079 GALLEGOS DE ALTAMIROS",           1,
,"05080 GALLEGOS DE SOBRINOS",           2,
,"05081 GARGANTA DEL VILLAR",           1,
,"05082 GAVILANES",           1,
,"05083 GEMUÑO",           1,
,"05084 GILBUENA",           1,
,"05085 GIL GARCIA",           1,
,"05086 GIMIALCON",           1,
,"05087 GOTARRENDURA",           1,
,"05089 GUISANDO",           1,
,"05090 GUTIERRE-MUÑOZ",           1,
,"05092 HERNANSANCHO",           1,
,"05093 HERRADON DE PINARES",           2,
,"05094 HERREROS DE SUSO",           1,
,"05095 HIGUERA DE LAS DUEÑAS",           1,
,"05096 HIJA DE DIOS (LA)",           1,
,"05097 HORCAJADA (LA)",           2,
,"05099 HORCAJO DE LAS TORRES",           1,
,"05100 HORNILLO (EL)",           1,
,"05101 HOYOCASERO",           1,
,"05102 HOYO DE PINARES (EL)",           1,
,"05103 HOYORREDONDO",           1,
,"05104 HOYOS DEL COLLADO",           1,
,"05105 HOYOS DEL ESPINO",           1,
,"05106 HOYOS DE MIGUEL MUÑOZ",           1,
,"05107 HURTUMPASCUAL",           3,
,"05108 JUNCIANA",           1,
,"05109 LANGA",           1,
,"05112 LOSAR DEL BARCO (EL)",           2,
,"05113 LLANOS DE TORMES (LOS)",           2,
,"05115 MAELLO",           3,
,"05116 MALPARTIDA DE CORNEJA",           1,
,"05117 MAMBLAS",           1,
,"05118 MANCERA DE ARRIBA",           1,
,"05119 MANJABALAGO Y ORTIGOSA DE RIOALMAR",           2,
,"05120 MARLIN",           1,
,"05121 MARTIHERRERO",           1,
,"05122 MARTINEZ",           1,
,"05123 MEDIANA DE VOLTOYA",           1,
,"05124 MEDINILLA",           1,
,"05125 MENGAMUÑOZ",           1,
,"05126 MESEGAR DE CORNEJA",           1,
,"05127 MIJARES",           1,
,"05128 MINGORRIA",           1,
,"05129 MIRON (EL)",           2,
,"05130 MIRONCILLO",           1,
,"05131 MIRUEÑA DE LOS INFANZONES",           1,
,"05133 MONSALUPE",           1,
,"05134 MORALEJA DE MATACABRAS",           1,
,"05135 MUÑANA",           1,
,"05136 MUÑICO",           1,
,"05138 MUÑOGALINDO",           2,
,"05139 MUÑOGRANDE",           2,
,"05140 MUÑOMER DEL PECO",           1,
,"05141 MUÑOPEPE",           1,
,"05142 MUÑOSANCHO",           1,
,"05143 MUÑOTELLO",           1,
,"05144 NARRILLOS DEL ALAMO",           2,
,"05145 NARRILLOS DEL REBOLLAR",           2,
,"05147 NARROS DEL CASTILLO",           1,
,"05148 NARROS DEL PUERTO",           1,
,"05149 NARROS DE SALDUEÑA",           1,
,"05151 NAVACEPEDILLA DE CORNEJA",           1,
,"05152 NAVA DE AREVALO",           5,
,"05153 NAVA DEL BARCO",           1,
,"05154 NAVADIJOS",           1,
,"05155 NAVAESCURIAL",           2,
,"05156 NAVAHONDILLA",           1,
,"05157 NAVALACRUZ",           1,
,"05158 NAVALMORAL",           1,
,"05159 NAVALONGUILLA",           2,
,"05160 NAVALOSA",           1,
,"05161 NAVALPERAL DE PINARES",           1,
,"05162 NAVALPERAL DE TORMES",           2,
,"05163 NAVALUENGA",           1,
,"05164 NAVAQUESERA",           1,
,"05165 NAVARREDONDA DE GREDOS",           1,
,"05166 NAVARREDONDILLA",           1,
,"05167 NAVARREVISCA",           1,
,"05169 NAVATALGORDO",           1,
,"05170 NAVATEJARES",           1,
,"05171 NEILA DE SAN MIGUEL",           1,
,"05172 NIHARRA",           1,
,"05173 OJOS-ALBOS",           1,
,"05174 ORBITA",           1,
,"05175 OSO (EL)",           1,
,"05176 PADIERNOS",           1,
,"05177 PAJARES DE ADAJA",           1,
,"05178 PALACIOS DE GODA",           2,
,"05179 PAPATRIGO",           1,
,"05180 PARRAL (EL)",           1,
,"05181 PASCUALCOBO",           1,
,"05182 PEDRO BERNARDO",           1,
,"05183 PEDRO-RODRIGUEZ",           1,
,"05184 PEGUERINOS",           1,
,"05185 PEÑALBA DE AVILA",           1,
,"05186 PIEDRAHITA",           3,
,"05187 PIEDRALAVES",           1,
,"05188 POVEDA",           1,
,"05189 POYALES DEL HOYO",           1,
,"05190 POZANCO",           1,
,"05191 PRADOSEGAR",           1,
,"05192 PUERTO CASTILLA",           2,
,"05193 RASUEROS",           2,
,"05194 RIOCABADO",           1,
,"05195 RIOFRIO",           2,
,"05196 RIVILLA DE BARAJAS",           1,
,"05197 SALOBRAL",           1,
,"05198 SALVADIOS",           1,
,"05199 SAN BARTOLOME DE BEJAR",           1,
,"05200 SAN BARTOLOME DE CORNEJA",           2,
,"05201 SAN BARTOLOME DE PINARES",           1,
,"05204 SANCHIDRIAN",           1,
,"05205 SANCHORREJA",           1,
,"05206 SAN ESTEBAN DE LOS PATOS",           1,
,"05207 SAN ESTEBAN DEL VALLE",           1,
,"05208 SAN ESTEBAN DE ZAPARDIEL",           1,
,"05209 SAN GARCIA DE INGELMOS",           1,
,"05210 SAN JUAN DE LA ENCINILLA",           1,
,"05211 SAN JUAN DE LA NAVA",           1,
,"05212 SAN JUAN DEL MOLINILLO",           2,
,"05213 SAN JUAN DEL OLMO",           1,
,"05214 SAN LORENZO DE TORMES",           2,
,"05215 SAN MARTIN DE LA VEGA DEL ALBERCHE",           1,
,"05216 SAN MARTIN DEL PIMPOLLAR",           2,
,"05217 SAN MIGUEL DE CORNEJA",           1,
,"05218 SAN MIGUEL DE SERREZUELA",           1,
,"05219 SAN PASCUAL",           1,
,"05220 SAN PEDRO DEL ARROYO",           1,
,"05221 SANTA CRUZ DEL VALLE",           1,
,"05222 SANTA CRUZ DE PINARES",           1,
,"05224 SANTA MARIA DEL ARROYO",           1,
,"05225 SANTA MARIA DEL BERROCAL",           1,
,"05226 SANTA MARIA DE LOS CABALLEROS",           5,
,"05227 SANTA MARIA DEL TIETAR",           1,
,"05228 SANTIAGO DEL COLLADO",           4,
,"05229 SANTO DOMINGO DE LAS POSADAS",           1,
,"05230 SANTO TOME DE ZABARCOS",           1,
,"05231 SAN VICENTE DE AREVALO",           1,
,"05232 SERRADA (LA)",           1,
,"05233 SERRANILLOS",           1,
,"05234 SIGERES",           1,
,"05235 SINLABAJOS",           1,
,"05236 SOLANA DE AVILA",           6,
,"05237 SOLANA DE RIOALMAR",           1,
,"05238 SOLOSANCHO",           4,
,"05239 SOTALBO",           1,
,"05241 TIEMBLO (EL)",           1,
,"05242 TIÑOSILLOS",           1,
,"05243 TOLBAÑOS",           1,
,"05244 TORMELLAS",           2,
,"05245 TORNADIZOS DE AVILA",           1,
,"05246 TORTOLES",           1,
,"05247 TORRE (LA)",           6,
,"05249 UMBRIAS",           4,
,"05251 VADILLO DE LA SIERRA",           1,
,"05252 VALDECASA",           2,
,"05253 VEGA DE SANTA MARIA",           1,
,"05254 VELAYOS",           1,
,"05256 VILLAFLOR",           1,
,"05257 VILLAFRANCA DE LA SIERRA",           1,
,"05258 VILLANUEVA DE GOMEZ",           1,
,"05259 VILLANUEVA DEL ACERAL",           1,
,"05260 VILLANUEVA DEL CAMPILLO",           1,
,"05261 VILLAR DE CORNEJA",           1,
,"05262 VILLAREJO DEL VALLE",           1,
,"05263 VILLATORO",           1,
,"05264 VIÑEGRA DE MORAÑA",           1,
,"05265 VITA",           1,
,"05266 ZAPARDIEL DE LA CAÑADA",           1,
,"05267 ZAPARDIEL DE LA RIBERA",           2,
,"05901 SAN JUAN DE GREDOS",           3,
,"05902 SANTA MARIA DEL CUBILLO",           2,
,"05903 DIEGO DEL CARPIO",           2,
,"05904 SANTIAGO DEL TORMES",           4,
,"05905 VILLANUEVA DE AVILA",           1,
,"09001 ABAJAS",           1,
,"09003 ADRADA DE HAZA",           1,
,"09006 AGUAS CANDIDAS",           3,
,"09007 AGUILAR DE BUREBA",           1,
,"09009 ALBILLOS",           1,
,"09010 ALCOCERO DE MOLA",           1,
,"09011 ALFOZ DE BRICIA",           1,
,"09012 ALFOZ DE SANTA GADEA",           2,
,"09013 ALTABLE",           1,
,"09014 ALTOS (LOS)",           7,
,"09017 ANGUIX",           1,
,"09018 ARANDA DE DUERO",           1,
,"09019 ARANDILLA",           1,
,"09020 ARAUZO DE MIEL",           2,
,"09021 ARAUZO DE SALCE",           1,
,"09022 ARAUZO DE TORRE",           1,
,"09023 ARCOS",           1,
,"09024 ARENILLAS DE RIOPISUERGA",           1,
,"09025 ARIJA",           1,
,"09026 ARLANZON",           3,
,"09027 ARRAYA DE OCA",           1,
,"09029 ATAPUERCA",           2,
,"09030 AUSINES (LOS)",           1,
,"09032 AVELLANOSA DE MUÑO",           4,
,"09033 BAHABON DE ESGUEVA",           1,
,"09034 BALBASES (LOS)",           1,
,"09035 BAÑOS DE VALDEARADOS",           1,
,"09036 BAÑUELOS DE BUREBA",           1,
,"09037 BARBADILLO DE HERREROS",           1,
,"09038 BARBADILLO DEL MERCADO",           1,
,"09039 BARBADILLO DEL PEZ",           1,
,"09043 BARRIOS DE BUREBA (LOS)",           4,
,"09044 BARRIOS DE COLINA",           1,
,"09045 BASCONCILLOS DEL TOZO",           8,
,"09046 BASCUÑANA",           2,
,"09047 BELBIMBRE",           1,
,"09048 BELORADO",           3,
,"09050 BERBERANA",           1,
,"09051 BERLANGAS DE ROA",           1,
,"09052 BERZOSA DE BUREBA",           1,
,"09054 BOZOO",           2,
,"09055 BRAZACORTA",           1,
,"09058 BUNIEL",           1,
,"09059 BURGOS",           4,
,"09060 BUSTO DE BUREBA",           1,
,"09061 CABAÑES DE ESGUEVA",           1,
,"09062 CABEZON DE LA SIERRA",           1,
,"09063 CAVIA",           1,
,"09064 CALERUEGA",           1,
,"09065 CAMPILLO DE ARANDA",           1,
,"09066 CAMPOLARA",           1,
,"09067 CANICOSA DE LA SIERRA",           1,
,"09068 CANTABRANA",           1,
,"09071 CARCEDO DE BUREBA",           2,
,"09072 CARCEDO DE BURGOS",           2,
,"09073 CARDEÑADIJO",           1,
,"09074 CARDEÑAJIMENO",           2,
,"09075 CARDEÑUELA RIOPICO",           1,
,"09076 CARRIAS",           1,
,"09077 CASCAJARES DE BUREBA",           1,
,"09079 CASTELLANOS DE CASTRO",           1,
,"09082 CASTILDELGADO",           1,
,"09083 CASTIL DE PEONES",           1,
,"09084 CASTRILLO DE LA REINA",           1,
,"09085 CASTRILLO DE LA VEGA",           1,
,"09086 CASTRILLO DEL VAL",           1,
,"09088 CASTRILLO DE RIOPISUERGA",           2,
,"09090 CASTRILLO MOTA DE JUDIOS",           1,
,"09091 CASTROJERIZ",           6,
,"09093 CAYUELA",           2,
,"09094 CEBRECOS",           1,
,"09095 CELADA DEL CAMINO",           1,
,"09098 CEREZO DE RIO TIRON",           1,
,"09100 CERRATON DE JUARROS",           1,
,"09101 CIADONCHA",           1,
,"09103 CILLERUELO DE ABAJO",           1,
,"09104 CILLERUELO DE ARRIBA",           1,
,"09105 CIRUELOS DE CERVERA",           2,
,"09108 COGOLLOS",           1,
,"09109 CONDADO DE TREVIÑO",           2,
,"09110 CONTRERAS",           1,
,"09112 CORUÑA DEL CONDE",           1,
,"09113 COVARRUBIAS",           1,
,"09114 CUBILLO DEL CAMPO",           1,
,"09115 CUBO DE BUREBA",           1,
,"09117 CUEVA DE ROA (LA)",           1,
,"09119 CUEVAS DE SAN CLEMENTE",           1,
,"09122 ESPINOSA DE CERVERA",           1,
,"09123 ESPINOSA DEL CAMINO",           1,
,"09124 ESPINOSA DE LOS MONTEROS",           2,
,"09125 ESTEPAR",           7,
,"09127 FONTIOSO",           1,
,"09128 FRANDOVINEZ",           1,
,"09129 FRESNEDA DE LA SIERRA TIRON",           1,
,"09130 FRESNEÑA",           2,
,"09131 FRESNILLO DE LAS DUEÑAS",           1,
,"09132 FRESNO DE RIO TIRON",           1,
,"09133 FRESNO DE RODILLA",           1,
,"09134 FRIAS",           1,
,"09135 FUENTEBUREBA",           2,
,"09136 FUENTECEN",           1,
,"09137 FUENTELCESPED",           1,
,"09138 FUENTELISENDO",           1,
,"09139 FUENTEMOLINOS",           1,
,"09140 FUENTENEBRO",           1,
,"09141 FUENTESPINA",           1,
,"09144 GALLEGA (LA)",           1,
,"09148 GRIJALBA",           1,
,"09149 GRISALEÑA",           1,
,"09151 GUMIEL DE IZAN",           1,
,"09152 GUMIEL DE MERCADO",           2,
,"09154 HACINAS",           1,
,"09159 HONTANAS",           1,
,"09160 HONTANGAS",           1,
,"09162 HONTORIA DE LA CANTERA",           1,
,"09163 HONTORIA DEL PINAR",           4,
,"09164 HONTORIA DE VALDEARADOS",           1,
,"09166 HORMAZAS (LAS)",           2,
,"09167 HORNILLOS DEL CAMINO",           1,
,"09168 HORRA (LA)",           1,
,"09169 HORTIGÜELA",           1,
,"09170 HOYALES DE ROA",           1,
,"09172 HUERMECES",           1,
,"09173 HUERTA DE ARRIBA",           1,
,"09174 HUERTA DE REY",           3,
,"09175 HUMADA",           8,
,"09176 HURONES",           1,
,"09177 IBEAS DE JUARROS",           3,
,"09178 IBRILLOS",           1,
,"09179 IGLESIARRUBIA",           1,
,"09180 IGLESIAS",           1,
,"09181 ISAR",           4,
,"09182 ITERO DEL CASTILLO",           1,
,"09183 JARAMILLO DE LA FUENTE",           1,
,"09189 JUNTA DE TRASLALOMA",           1,
,"09190 JUNTA DE VILLALBA DE LOSA",           1,
,"09194 LERMA",           3,
,"09195 LLANO DE BUREBA",           1,
,"09196 MADRIGAL DEL MONTE",           1,
,"09197 MADRIGALEJO DEL MONTE",           2,
,"09198 MAHAMUD",           1,
,"09199 MAMBRILLA DE CASTREJON",           1,
,"09200 MAMBRILLAS DE LARA",           2,
,"09201 MAMOLAR",           1,
,"09202 MANCILES",           1,
,"09206 MAZUELA",           1,
,"09208 MECERREYES",           1,
,"09209 MEDINA DE POMAR",           1,
,"09211 MELGAR DE FERNAMENTAL",           2,
,"09213 MERINDAD DE CUESTA-URRIA",           2,
,"09214 MERINDAD DE MONTIJA",           4,
,"09215 MERINDAD DE SOTOSCUEVA",           2,
,"09216 MERINDAD DE VALDEPORRES",           2,
,"09217 MERINDAD DE VALDIVIELSO",           2,
,"09218 MILAGROS",           1,
,"09219 MIRANDA DE EBRO",           3,
,"09220 MIRAVECHE",           1,
,"09221 MODUBAR DE LA EMPAREDADA",           1,
,"09224 MONASTERIO DE RODILLA",           1,
,"09225 MONCALVILLO",           1,
,"09226 MONTERRUBIO DE LA DEMANDA",           1,
,"09227 MONTORIO",           1,
,"09228 MORADILLO DE ROA",           1,
,"09229 NAVA DE ROA",           1,
,"09230 NAVAS DE BUREBA",           1,
,"09231 NEBREDA",           1,
,"09232 NEILA",           1,
,"09235 OLMEDILLO DE ROA",           1,
,"09236 OLMILLOS DE MUÑO",           1,
,"09238 OÑA",           6,
,"09239 OQUILLAS",           1,
,"09242 PADILLA DE ABAJO",           1,
,"09243 PADILLA DE ARRIBA",           1,
,"09244 PADRONES DE BUREBA",           1,
,"09246 PALACIOS DE LA SIERRA",           1,
,"09247 PALACIOS DE RIOPISUERGA",           1,
,"09248 PALAZUELOS DE LA SIERRA",           1,
,"09249 PALAZUELOS DE MUÑO",           1,
,"09250 PAMPLIEGA",           1,
,"09251 PANCORBO",           1,
,"09253 PARDILLA",           1,
,"09255 PARTIDO DE LA SIERRA EN TOBALINA",           3,
,"09256 PEDROSA DE DUERO",           5,
,"09257 PEDROSA DEL PARAMO",           1,
,"09258 PEDROSA DEL PRINCIPE",           1,
,"09259 PEDROSA DE RIO URBEL",           4,
,"09261 PEÑARANDA DE DUERO",           2,
,"09262 PERAL DE ARLANZA",           1,
,"09265 PIERNIGAS",           1,
,"09266 PINEDA DE LA SIERRA",           1,
,"09267 PINEDA TRASMONTE",           1,
,"09268 PINILLA DE LOS BARRUECOS",           1,
,"09269 PINILLA DE LOS MOROS",           1,
,"09270 PINILLA TRASMONTE",           1,
,"09272 POZA DE LA SAL",           3,
,"09273 PRADANOS DE BUREBA",           1,
,"09275 PRESENCIO",           1,
,"09276 PUEBLA DE ARGANZON (LA)",           1,
,"09277 PUENTEDURA",           1,
,"09279 QUEMADA",           1,
,"09280 QUINTANABUREBA",           1,
,"09281 QUINTANA DEL PIDIO",           1,
,"09283 QUINTANAELEZ",           1,
,"09287 QUINTANAORTUÑO",           1,
,"09288 QUINTANAPALLA",           1,
,"09292 QUINTANAVIDES",           1,
,"09294 QUINTANILLA DE LA MATA",           1,
,"09295 QUINTANILLA DEL COCO",           1,
,"09297 QUINTANILLAS (LAS)",           1,
,"09298 QUINTANILLA SAN GARCIA",           1,
,"09301 QUINTANILLA VIVAR",           2,
,"09302 RABANERA DEL PINAR",           1,
,"09304 RABE DE LAS CALZADAS",           1,
,"09306 REBOLLEDO DE LA TORRE",           6,
,"09307 REDECILLA DEL CAMINO",           1,
,"09308 REDECILLA DEL CAMPO",           2,
,"09309 REGUMIEL DE LA SIERRA",           1,
,"09311 RETUERTA",           1,
,"09312 REVILLA Y AHEDO (LA)",           2,
,"09314 REVILLA DEL CAMPO",           1,
,"09315 REVILLARRUZ",           1,
,"09316 REVILLA VALLEJERA",           2,
,"09318 RIOCAVADO DE LA SIERRA",           1,
,"09323 ROJAS",           1,
,"09325 ROYUELA DE RIO FRANCO",           1,
,"09326 RUBENA",           1,
,"09327 RUBLACEDO DE ABAJO",           2,
,"09328 RUCANDIO",           3,
,"09329 SALAS DE BUREBA",           1,
,"09335 SAN ADRIAN DE JUARROS",           1,
,"09337 SAN JUAN DEL MONTE",           1,
,"09338 SAN MAMES DE BURGOS",           1,
,"09339 SAN MARTIN DE RUBIALES",           1,
,"09340 SAN MILLAN DE LARA",           2,
,"09343 SANTA CECILIA",           1,
,"09345 SANTA CRUZ DE LA SALCEDA",           1,
,"09346 SANTA CRUZ DEL VALLE URBION",           1,
,"09347 SANTA GADEA DEL CID",           1,
,"09348 SANTA INES",           1,
,"09350 SANTA MARIA DEL CAMPO",           1,
,"09351 SANTA MARIA DEL INVIERNO",           1,
,"09352 SANTA MARIA DEL MERCADILLO",           1,
,"09353 SANTA MARIA RIVARREDONDA",           1,
,"09354 SANTA OLALLA DE BUREBA",           1,
,"09355 SANTIBAÑEZ DE ESGUEVA",           1,
,"09358 SANTO DOMINGO DE SILOS",           3,
,"09361 SARGENTES DE LA LORA",           4,
,"09362 SARRACIN",           1,
,"09363 SASAMON",           7,
,"09365 SEQUERA DE HAZA (LA)",           1,
,"09366 SOLARANA",           1,
,"09368 SORDILLOS",           1,
,"09369 SOTILLO DE LA RIBERA",           2,
,"09372 SOTRAGERO",           1,
,"09373 SOTRESGUDO",           9,
,"09374 SUSINOS DEL PARAMO",           1,
,"09375 TAMARON",           1,
,"09377 TARDAJOS",           1,
,"09380 TERRADILLOS DE ESGUEVA",           1,
,"09382 TOBAR",           1,
,"09384 TORDOMAR",           1,
,"09386 TORRECILLA DEL MONTE",           1,
,"09387 TORREGALINDO",           1,
,"09389 TORREPADRE",           1,
,"09390 TORRESANDINO",           1,
,"09391 TORTOLES DE ESGUEVA",           2,
,"09392 TOSANTOS",           1,
,"09395 TUBILLA DEL AGUA",           3,
,"09396 TUBILLA DEL LAGO",           1,
,"09398 URBEL DEL CASTILLO",           2,
,"09400 VADOCONDES",           1,
,"09403 VALDEANDE",           1,
,"09405 VALDEZATE",           1,
,"09406 VALDORROS",           1,
,"09407 VALMALA",           1,
,"09408 VALLARTA DE BUREBA",           1,
,"09409 VALLE DE MANZANEDO",           1,
,"09410 VALLE DE MENA",           7,
,"09411 VALLE DE OCA",           5,
