" Datos Básicos  - Alojamientos Hoteleros y de Turismo Rural"
"Datos de: INDICADOR=ALOJAMIENTOS HOTELEROS, ALOJAMIENTOS DE TURISMO RURAL"
"FAMILIA INDICADOR",,"TURISMO",,
"INDICADOR",,"ALOJAMIENTOS HOTELEROS","ALOJAMIENTOS DE TURISMO RURAL",
,,VALOR,VALOR,
FECHA,MUNICIPIO,Sum,Sum,
"2000","05002 ADRADA (LA)",           1,           1,
,"05013 ARENAL (EL)",           1,           .,
,"05014 ARENAS DE SAN PEDRO",           6,           4,
,"05016 AREVALO",           4,           .,
,"05019 AVILA",          34,           1,
,"05021 BARCO DE AVILA (EL)",           3,           4,
,"05022 BARRACO (EL)",           4,          37,
,"05024 BECEDAS",           .,           1,
,"05030 BERROCALEJO DE ARAGONA",           1,           .,
,"05037 BOHOYO",           .,           6,
,"05038 BONILLA DE LA SIERRA",           .,           2,
,"05041 BURGOHONDO",           2,           .,
,"05047 CANDELEDA",           5,           5,
,"05054 CASAVIEJA",           1,           1,
,"05057 CEBREROS",           1,           .,
,"05058 CEPEDA LA MORA",           .,           1,
,"05065 CRESPOS",           1,           .,
,"05066 CUEVAS DEL VALLE",           1,           .,
,"05081 GARGANTA DEL VILLAR",           .,           1,
,"05082 GAVILANES",           1,           .,
,"05089 GUISANDO",           2,           .,
,"05097 HORCAJADA (LA)",           .,           2,
,"05101 HOYOCASERO",           2,           1,
,"05102 HOYO DE PINARES (EL)",           1,           .,
,"05103 HOYORREDONDO",           .,           1,
,"05104 HOYOS DEL COLLADO",           .,           1,
,"05105 HOYOS DEL ESPINO",           8,          12,
,"05112 LOSAR DEL BARCO (EL)",           .,           2,
,"05113 LLANOS DE TORMES (LOS)",           .,           1,
,"05114 MADRIGAL DE LAS ALTAS TORRES",           1,           .,
,"05124 MEDINILLA",           .,           1,
,"05127 MIJARES",           2,           .,
,"05132 MOMBELTRAN",           3,           .,
,"05144 NARRILLOS DEL ALAMO",           .,           1,
,"05153 NAVA DEL BARCO",           .,           1,
,"05154 NAVADIJOS",           .,           2,
,"05155 NAVAESCURIAL",           .,           1,
,"05158 NAVALMORAL",           1,           .,
,"05159 NAVALONGUILLA",           .,           2,
,"05161 NAVALPERAL DE PINARES",           1,           .,
,"05162 NAVALPERAL DE TORMES",           .,           1,
,"05163 NAVALUENGA",           1,           4,
,"05165 NAVARREDONDA DE GREDOS",           3,          12,
,"05167 NAVARREVISCA",           .,           1,
,"05168 NAVAS DEL MARQUES (LAS)",           3,           .,
,"05170 NAVATEJARES",           .,           4,
,"05177 PAJARES DE ADAJA",           .,           1,
,"05182 PEDRO BERNARDO",           1,           .,
,"05184 PEGUERINOS",           2,           .,
,"05186 PIEDRAHITA",           4,           .,
,"05187 PIEDRALAVES",           3,           4,
,"05189 POYALES DEL HOYO",           1,           1,
,"05194 RIOCABADO",           1,           .,
,"05197 SALOBRAL",           .,           1,
