" Datos Básicos  - Hospitales y Camas hospitalarias"
"Datos de: INDICADOR=HOSPITALES, CAMAS HOSPITALARIAS"
"FAMILIA INDICADOR",,"SANIDAD",,
"INDICADOR",,"HOSPITALES","CAMAS HOSPITALARIAS",
,,VALOR,VALOR,
FECHA,MUNICIPIO,Sum,Sum,
"2000","05016 AREVALO",           1,         293,
,"05019 AVILA",           1,         352,
,"09018 ARANDA DE DUERO",           2,         233,
,"09059 BURGOS",           6,        1321,
,"09219 MIRANDA DE EBRO",           1,         126,
,"09238 OÑA",           1,          82,
,"24089 LEON",           8,        1510,
,"24115 PONFERRADA",           3,         464,
,"24142 SAN ANDRES DEL RABANEDO",           1,         225,
,"24222 VILLAQUILAMBRE",           1,         110,
,"34120 PALENCIA",           5,         905,
,"37046 BEJAR",           1,          23,
,"37087 CARRASCAL DE BARREGAS",           1,         146,
,"37274 SALAMANCA",           4,        1213,
,"40155 PALAZUELOS DE ERESMA",           1,          60,
,"40194 SEGOVIA",           3,         443,
,"42173 SORIA",           3,         473,
,"47085 MEDINA DEL CAMPO",           1,         111,
,"47186 VALLADOLID",           7,        1726,
,"49021 BENAVENTE",           1,          43,
,"49275 ZAMORA",           3,         552,
,"TOTAL",          55,       10411,
"2002","05016 AREVALO",           1,         125,
,"05019 AVILA",           3,         495,
,"09018 ARANDA DE DUERO",           2,         145,
,"09059 BURGOS",           7,        1463,
,"09219 MIRANDA DE EBRO",           1,         120,
,"24089 LEON",           9,        2301,
,"24115 PONFERRADA",           3,         500,
,"24142 SAN ANDRES DEL RABANEDO",           1,         225,
,"24222 VILLAQUILAMBRE",           1,         110,
,"34120 PALENCIA",           5,         943,
,"37046 BEJAR",           1,          20,
,"37087 CARRASCAL DE BARREGAS",           1,         252,
,"37274 SALAMANCA",           4,        3014,
,"37294 SANTA MARTA DE TORMES",           1,          58,
,"40155 PALAZUELOS DE ERESMA",           1,          56,
,"40194 SEGOVIA",           4,         819,
,"42173 SORIA",           3,         408,
,"47085 MEDINA DEL CAMPO",           1,         111,
