" Datos Básicos  - Paro Registrado"
"Datos de: INDICADOR=PARO REGISTRADO EN MUJERES DE MENOS DE 25 AÑOS EN DICIEMBRE, PARO REGISTRADO EN MUJERES DE 25 AÑOS O MÁS EN DICIEMBRE, PARO REGISTRADO EN VARONES DE MENOS DE 25 AÑOS EN DICIEMBRE, PARO REGISTRADO EN VARONES DE 25 AÑOS O MÁS EN DICIEMBRE"
"FAMILIA INDICADOR",,"LABORAL",,,,
"INDICADOR",,"PARO REGISTRADO EN MUJERES DE MENOS DE 25 AÑOS EN DICIEMBRE","PARO REGISTRADO EN MUJERES DE 25 AÑOS O MÁS EN DICIEMBRE","PARO REGISTRADO EN VARONES DE MENOS DE 25 AÑOS EN DICIEMBRE","PARO REGISTRADO EN VARONES DE 25 AÑOS O MÁS EN DICIEMBRE",
,,VALOR,VALOR,VALOR,VALOR,
FECHA,MUNICIPIO,Sum,Sum,Sum,Sum,
"2000","05001 ADANERO",           .,           5,           1,           3,
,"05002 ADRADA (LA)",          12,          28,           9,          31,
,"05005 ALBORNOS",           1,           7,           .,           3,
,"05007 ALDEANUEVA DE SANTA CRUZ",           .,           3,           .,           1,
,"05008 ALDEASECA",           .,          13,           .,           6,
,"05010 ALDEHUELA (LA)",           .,           4,           1,           2,
,"05012 AMAVIDA",           2,           4,           .,           3,
,"05013 ARENAL (EL)",           2,          18,           .,          13,
,"05014 ARENAS DE SAN PEDRO",          39,         151,          34,         101,
,"05015 AREVALILLO",           .,           .,           .,           2,
,"05016 AREVALO",          51,         204,          21,          74,
,"05017 AVEINTE",           .,           .,           .,           1,
,"05019 AVILA",         299,        1389,          66,         468,
,"05021 BARCO DE AVILA (EL)",           7,          28,           7,          23,
,"05022 BARRACO (EL)",           5,          22,           1,          16,
,"05023 BARROMAN",           2,           4,           .,           1,
,"05024 BECEDAS",           .,           2,           1,           3,
,"05025 BECEDILLAS",           .,           1,           .,           .,
,"05026 BERCIAL DE ZAPARDIEL",           3,           8,           3,           1,
,"05027 BERLANAS (LAS)",           .,           4,           1,           5,
,"05029 BERNUY-ZAPARDIEL",           1,           4,           1,           1,
,"05030 BERROCALEJO DE ARAGONA",           .,           1,           .,           .,
,"05033 BLASCOMILLAN",           1,           4,           .,           .,
,"05034 BLASCONUÑO DE MATACABRAS",           .,           .,           .,           2,
,"05035 BLASCOSANCHO",           1,           1,           .,           3,
,"05036 BOHODON (EL)",           .,           1,           .,           2,
,"05037 BOHOYO",           .,           1,           .,           1,
,"05038 BONILLA DE LA SIERRA",           .,           1,           .,           .,
,"05039 BRABOS",           .,           .,           .,           1,
,"05041 BURGOHONDO",           1,           8,           .,          12,
,"05042 CABEZAS DE ALAMBRE",           .,           8,           .,           1,
,"05044 CABEZAS DEL VILLAR",           3,           4,           1,           4,
,"05045 CABIZUELA",           .,           .,           .,           1,
,"05046 CANALES",           .,           3,           .,           .,
,"05047 CANDELEDA",          25,          82,          15,          65,
,"05048 CANTIVEROS",           1,           2,           .,           1,
,"05049 CARDEÑOSA",           2,           7,           .,           6,
,"05051 CARRERA (LA)",           .,           3,           .,           1,
,"05052 CASAS DEL PUERTO",           .,           1,           .,           1,
,"05053 CASASOLA",           .,           .,           .,           1,
,"05054 CASAVIEJA",           3,          20,           2,          17,
,"05055 CASILLAS",           4,          20,           2,          10,
,"05056 CASTELLANOS DE ZAPARDIEL",           .,           3,           .,           .,
,"05057 CEBREROS",          13,          50,           8,          36,
,"05058 CEPEDA LA MORA",           1,           .,           .,           3,
,"05059 CILLAN",           .,           2,           .,           2,
,"05060 CISLA",           2,           3,           .,           3,
,"05061 COLILLA (LA)",           3,           4,           1,           2,
,"05062 COLLADO DE CONTRERAS",           1,           1,           .,           3,
,"05064 CONSTANZANA",           .,           .,           .,           2,
,"05065 CRESPOS",           2,           8,           1,           5,
,"05066 CUEVAS DEL VALLE",           4,          20,           3,          29,
,"05067 CHAMARTIN",           .,           2,           .,           2,
,"05069 DONJIMENO",           1,           1,           .,           .,
,"05070 DONVIDAS",           .,           1,           .,           1,
,"05072 ESPINOSA DE LOS CABALLEROS",           1,           2,           .,           1,
,"05073 FLORES DE AVILA",           .,           3,           1,           6,
,"05074 FONTIVEROS",           2,          19,           1,           8,
,"05075 FRESNEDILLA",           .,           .,           .,           1,
,"05076 FRESNO (EL)",           1,          10,           1,           8,
,"05077 FUENTE EL SAUZ",           2,           4,           .,           1,
,"05078 FUENTES DE AÑO",           .,           8,           .,           5,
,"05079 GALLEGOS DE ALTAMIROS",           .,           .,           .,           1,
,"05080 GALLEGOS DE SOBRINOS",           1,           .,           .,           .,
,"05081 GARGANTA DEL VILLAR",           1,           1,           .,           3,
,"05082 GAVILANES",           1,           5,           1,           4,
,"05083 GEMUÑO",           2,           3,           .,           3,
,"05087 GOTARRENDURA",           .,           1,           .,           .,
,"05089 GUISANDO",           3,          10,           2,          11,
,"05090 GUTIERRE-MUÑOZ",           .,           2,           .,           .,
,"05092 HERNANSANCHO",           .,           4,           .,           .,
,"05093 HERRADON DE PINARES",           4,           4,           .,          10,
,"05094 HERREROS DE SUSO",           1,           1,           .,           2,
,"05095 HIGUERA DE LAS DUEÑAS",           .,           1,           .,           8,
,"05096 HIJA DE DIOS (LA)",           .,           1,           .,           4,
,"05097 HORCAJADA (LA)",           2,           3,           .,           9,
,"05099 HORCAJO DE LAS TORRES",           3,          18,           3,           2,
,"05100 HORNILLO (EL)",           1,           6,           1,           1,
,"05101 HOYOCASERO",           1,           3,           .,           1,
,"05102 HOYO DE PINARES (EL)",           7,          48,           7,          29,
,"05105 HOYOS DEL ESPINO",           .,           2,           1,           5,
,"05107 HURTUMPASCUAL",           .,           1,           .,           .,
,"05109 LANGA",           6,          22,           1,          11,
,"05110 LANZAHITA",          10,          24,           6,          25,
,"05112 LOSAR DEL BARCO (EL)",           .,           1,           .,           .,
,"05113 LLANOS DE TORMES (LOS)",           .,           1,           .,           2,
,"05114 MADRIGAL DE LAS ALTAS TORRES",          18,          37,          10,          27,
,"05115 MAELLO",           3,          10,           4,           6,
,"05116 MALPARTIDA DE CORNEJA",           .,           4,           .,           1,
,"05117 MAMBLAS",           1,          10,           .,           1,
,"05118 MANCERA DE ARRIBA",           1,           .,           .,           2,
,"05120 MARLIN",           .,           .,           .,           1,
,"05121 MARTIHERRERO",           .,           2,           .,           1,
,"05122 MARTINEZ",           1,           2,           .,           2,
,"05123 MEDIANA DE VOLTOYA",           2,           3,           .,           1,
,"05124 MEDINILLA",           .,           1,           .,           .,
,"05125 MENGAMUÑOZ",           .,           1,           .,           1,
,"05126 MESEGAR DE CORNEJA",           .,           1,           .,           .,
,"05127 MIJARES",           7,          13,           3,          13,
,"05128 MINGORRIA",           1,           5,           1,           7,
,"05129 MIRON (EL)",           .,           .,           1,           .,
,"05130 MIRONCILLO",           2,           1,           .,           1,
,"05131 MIRUEÑA DE LOS INFANZONES",           .,           5,           .,           .,
,"05132 MOMBELTRAN",           7,          21,           3,          15,
,"05133 MONSALUPE",           .,           1,           .,           .,
,"05134 MORALEJA DE MATACABRAS",           .,           .,           1,           .,
,"05135 MUÑANA",           2,          10,           .,           5,
,"05136 MUÑICO",           1,           .,           1,           2,
,"05138 MUÑOGALINDO",           1,           8,           .,           2,
,"05140 MUÑOMER DEL PECO",           .,           1,           .,           2,
,"05142 MUÑOSANCHO",           .,           2,           .,           3,
,"05143 MUÑOTELLO",           1,           1,           .,           .,
,"05144 NARRILLOS DEL ALAMO",           .,           .,           .,           1,
