" Datos Básicos  - Restaurantes"
"Datos de: INDICADOR=RESTAURANTES"
"FAMILIA INDICADOR",,"TURISMO",
"INDICADOR",,"RESTAURANTES",
,,VALOR,
FECHA,MUNICIPIO,Sum,
"2000","05002 ADRADA (LA)",           9,
,"05012 AMAVIDA",           1,
,"05013 ARENAL (EL)",           4,
,"05014 ARENAS DE SAN PEDRO",          21,
,"05016 AREVALO",          13,
,"05019 AVILA",          91,
,"05021 BARCO DE AVILA (EL)",          10,
,"05022 BARRACO (EL)",          13,
,"05030 BERROCALEJO DE ARAGONA",           1,
,"05037 BOHOYO",           1,
,"05041 BURGOHONDO",           3,
,"05047 CANDELEDA",          18,
,"05051 CARRERA (LA)",           1,
,"05054 CASAVIEJA",           6,
,"05055 CASILLAS",           2,
,"05057 CEBREROS",           5,
,"05061 COLILLA (LA)",           3,
,"05065 CRESPOS",           2,
,"05066 CUEVAS DEL VALLE",           2,
,"05074 FONTIVEROS",           2,
,"05076 FRESNO (EL)",           1,
,"05082 GAVILANES",           2,
,"05089 GUISANDO",           5,
,"05092 HERNANSANCHO",           1,
,"05093 HERRADON DE PINARES",           2,
,"05095 HIGUERA DE LAS DUEÑAS",           1,
,"05101 HOYOCASERO",           1,
,"05102 HOYO DE PINARES (EL)",           3,
,"05105 HOYOS DEL ESPINO",           5,
,"05110 LANZAHITA",           2,
,"05113 LLANOS DE TORMES (LOS)",           1,
,"05114 MADRIGAL DE LAS ALTAS TORRES",           2,
,"05115 MAELLO",           2,
,"05121 MARTIHERRERO",           3,
,"05125 MENGAMUÑOZ",           2,
,"05127 MIJARES",           1,
,"05128 MINGORRIA",           2,
,"05132 MOMBELTRAN",           4,
,"05135 MUÑANA",           2,
,"05138 MUÑOGALINDO",           1,
,"05158 NAVALMORAL",           5,
,"05159 NAVALONGUILLA",           2,
,"05161 NAVALPERAL DE PINARES",           2,
,"05163 NAVALUENGA",           3,
,"05165 NAVARREDONDA DE GREDOS",           4,
,"05167 NAVARREVISCA",           1,
,"05168 NAVAS DEL MARQUES (LAS)",           6,
,"05169 NAVATALGORDO",           1,
,"05174 ORBITA",           1,
,"05176 PADIERNOS",           2,
,"05178 PALACIOS DE GODA",           1,
,"05184 PEGUERINOS",           6,
,"05186 PIEDRAHITA",          12,
,"05187 PIEDRALAVES",          13,
,"05189 POYALES DEL HOYO",           1,
,"05194 RIOCABADO",           1,
,"05197 SALOBRAL",           2,
,"05198 SALVADIOS",           1,
,"05204 SANCHIDRIAN",           2,
,"05207 SAN ESTEBAN DEL VALLE",           1,
,"05216 SAN MARTIN DEL PIMPOLLAR",           5,
,"05220 SAN PEDRO DEL ARROYO",           2,
,"05225 SANTA MARIA DEL BERROCAL",           3,
,"05227 SANTA MARIA DEL TIETAR",           2,
,"05238 SOLOSANCHO",           2,
,"05240 SOTILLO DE LA ADRADA",          10,
,"05241 TIEMBLO (EL)",           5,
,"05902 SANTA MARIA DEL CUBILLO",           1,
,"05905 VILLANUEVA DE AVILA",           1,
,"09003 ADRADA DE HAZA",           1,
,"09016 AMEYUGO",           2,
,"09018 ARANDA DE DUERO",          42,
,"09025 ARIJA",           4,
,"09029 ATAPUERCA",           2,
,"09038 BARBADILLO DEL MERCADO",           2,
,"09048 BELORADO",           4,
,"09050 BERBERANA",           2,
,"09056 BRIVIESCA",           8,
,"09058 BUNIEL",           1,
,"09059 BURGOS",         178,
,"09063 CAVIA",           2,
,"09064 CALERUEGA",           1,
,"09072 CARCEDO DE BURGOS",           6,
,"09073 CARDEÑADIJO",           5,
,"09074 CARDEÑAJIMENO",           4,
,"09085 CASTRILLO DE LA VEGA",           3,
,"09086 CASTRILLO DEL VAL",           3,
,"09091 CASTROJERIZ",           2,
,"09098 CEREZO DE RIO TIRON",           1,
,"09108 COGOLLOS",           2,
,"09109 CONDADO DE TREVIÑO",           2,
,"09113 COVARRUBIAS",           8,
,"09119 CUEVAS DE SAN CLEMENTE",           2,
,"09124 ESPINOSA DE LOS MONTEROS",           4,
,"09125 ESTEPAR",           1,
,"09127 FONTIOSO",           1,
,"09130 FRESNEÑA",           1,
,"09131 FRESNILLO DE LAS DUEÑAS",           1,
,"09134 FRIAS",           1,
,"09136 FUENTECEN",           1,
,"09140 FUENTENEBRO",           1,
,"09141 FUENTESPINA",           2,
,"09151 GUMIEL DE IZAN",           2,
,"09155 HAZA",           1,
,"09163 HONTORIA DEL PINAR",           2,
,"09169 HORTIGÜELA",           1,
,"09174 HUERTA DE REY",           3,
,"09177 IBEAS DE JUARROS",           4,
,"09194 LERMA",          13,
,"09197 MADRIGALEJO DEL MONTE",           2,
,"09209 MEDINA DE POMAR",           9,
,"09211 MELGAR DE FERNAMENTAL",           6,
,"09213 MERINDAD DE CUESTA-URRIA",           1,
,"09214 MERINDAD DE MONTIJA",           2,
,"09215 MERINDAD DE SOTOSCUEVA",           1,
,"09216 MERINDAD DE VALDEPORRES",           2,
,"09217 MERINDAD DE VALDIVIELSO",           1,
,"09218 MILAGROS",           2,
,"09219 MIRANDA DE EBRO",          29,
,"09221 MODUBAR DE LA EMPAREDADA",           2,
,"09224 MONASTERIO DE RODILLA",           5,
,"09229 NAVA DE ROA",           2,
,"09235 OLMEDILLO DE ROA",           1,
,"09246 PALACIOS DE LA SIERRA",           1,
,"09251 PANCORBO",           2,
,"09259 PEDROSA DE RIO URBEL",           1,
,"09261 PEÑARANDA DE DUERO",           2,
,"09266 PINEDA DE LA SIERRA",           2,
,"09272 POZA DE LA SAL",           1,
,"09274 PRADOLUENGO",           1,
,"09275 PRESENCIO",           2,
,"09276 PUEBLA DE ARGANZON (LA)",           2,
,"09288 QUINTANAPALLA",           3,
,"09289 QUINTANAR DE LA SIERRA",           4,
,"09301 QUINTANILLA VIVAR",           3,
,"09315 REVILLARRUZ",           2,
,"09321 ROA",           7,
,"09329 SALAS DE BUREBA",           1,
,"09330 SALAS DE LOS INFANTES",           7,
,"09332 SALDAÑA DE BURGOS",           2,
,"09353 SANTA MARIA RIVARREDONDA",           1,
,"09358 SANTO DOMINGO DE SILOS",           4,
,"09361 SARGENTES DE LA LORA",           1,
,"09362 SARRACIN",           2,
,"09363 SASAMON",           2,
,"09369 SOTILLO DE LA RIBERA",           1,
,"09377 TARDAJOS",           2,
,"09390 TORRESANDINO",           1,
,"09394 TRESPADERNE",           1,
,"09395 TUBILLA DEL AGUA",           3,
,"09400 VADOCONDES",           1,
,"09410 VALLE DE MENA",          11,
,"09411 VALLE DE OCA",           1,
,"09412 VALLE DE TOBALINA",           4,
,"09413 VALLE DE VALDEBEZANA",           5,
,"09415 VALLE DE VALDELUCIO",           1,
,"09421 VID Y BARRIOS (LA)",           1,
,"09425 VILVIESTRE DEL PINAR",           3,
,"09427 VILLADIEGO",           2,
,"09434 VILLAGONZALO PEDERNALES",           3,
,"09439 VILLALBILLA DE BURGOS",           4,
,"09441 VILLALDEMIRO",           1,
,"09442 VILLALMANZO",           4,
,"09449 VILLANUEVA DE ARGAÑO",           3,
,"09456 VILLAQUIRAN DE LOS INFANTES",           2,
,"09458 VILLARIEZO",           1,
,"09901 QUINTANILLA DEL AGUA Y TORDUELES",           2,
,"09903 VILLARCAYO DE MERINDAD DE CASTILLA LA VIEJA",          14,
,"09905 VALLE DE SEDANO",           2,
,"09906 MERINDAD DE RIO UBIERNA",           3,
,"09907 ALFOZ DE QUINTANADUEÑAS",           3,
,"09908 VALLE DE LOSA",           1,
,"24003 ALIJA DEL INFANTADO",           1,
,"24004 ALMANZA",           1,
,"24006 ARDON",           1,
,"24008 ASTORGA",          34,
,"24010 BAÑEZA (LA)",          15,
,"24012 BARRIOS DE LUNA (LOS)",           2,
,"24014 BEMBIBRE",           8,
,"24015 BENAVIDES",           4,
,"24016 BENUZA",           2,
,"24017 BERCIANOS DEL PARAMO",           1,
,"24020 BOCA DE HUERGANO",           4,
,"24021 BOÑAR",           8,
,"24022 BORRENES",           1,
,"24023 BRAZUELO",           4,
,"24024 BURGO RANERO (EL)",           1,
,"24025 BURON",           3,
,"24027 CABAÑAS RARAS",           1,
,"24029 CABRILLANES",           4,
,"24030 CACABELOS",          10,
,"24034 CAMPONARAYA",           3,
,"24036 CANDIN",           1,
,"24037 CARMENES",           7,
,"24038 CARRACEDELO",           5,
,"24039 CARRIZO",           7,
,"24040 CARROCERA",           1,
,"24041 CARUCEDO",           3,
,"24056 CISTIERNA",           6,
,"24057 CONGOSTO",           2,
,"24060 CREMENES",           1,
,"24061 CUADROS",           1,
,"24064 CUBILLOS DEL SIL",           2,
,"24065 CHOZAS DE ABAJO",           3,
,"24067 ENCINEDO",           6,
,"24070 FABERO",           3,
,"24076 GARRAFE DE TORIO",           3,
,"24082 HOSPITAL DE ORBIGO",           5,
,"24083 IGÜEÑA",           1,
,"24089 LEON",         134,
,"24092 LLAMAS DE LA RIBERA",           1,
,"24094 MANSILLA DE LAS MULAS",           7,
,"24098 MATALLANA DE TORIO",           3,
,"24099 MATANZA",           2,
,"24100 MOLINASECA",          11,
,"24101 MURIAS DE PAREDES",           1,
,"24102 NOCEDA DEL BIERZO",           1,
,"24105 ONZONILLA",           9,
,"24106 OSEJA DE SAJAMBRE",           2,
,"24108 PALACIOS DE LA VALDUERNA",           1,
,"24109 PALACIOS DEL SIL",           1,
,"24110 PARAMO DEL SIL",           1,
,"24112 PERANZANES",           1,
,"24114 POLA DE GORDON (LA)",           8,
,"24115 PONFERRADA",          53,
,"24116 POSADA DE VALDEON",           5,
,"24120 PRIORO",           1,
,"24121 PUEBLA DE LILLO",           6,
,"24122 PUENTE DE DOMINGO FLOREZ",           3,
,"24130 RIAÑO",           4,
,"24131 RIEGO DE LA VEGA",           3,
,"24132 RIELLO",           5,
,"24133 RIOSECO DE TAPIA",           1,
,"24134 ROBLA (LA)",           4,
,"24136 ROPERUELOS DEL PARAMO",           2,
,"24137 SABERO",           2,
,"24139 SAHAGUN",           9,
,"24142 SAN ANDRES DEL RABANEDO",          19,
,"24145 SAN EMILIANO",           3,
,"24148 SAN JUSTO DE LA VEGA",           2,
,"24149 SAN MILLAN DE LOS CABALLEROS",           1,
,"24151 SANTA COLOMBA DE CURUEÑO",           3,
,"24152 SANTA COLOMBA DE SOMOZA",           3,
,"24153 SANTA CRISTINA DE VALMADRIGAL",           2,
,"24154 SANTA ELENA DE JAMUZ",           1,
,"24157 SANTA MARIA DEL PARAMO",           3,
,"24160 SANTAS MARTAS",           1,
,"24161 SANTIAGO MILLAS",           5,
,"24162 SANTOVENIA DE LA VALDONCINA",           4,
,"24163 SARIEGOS",           5,
,"24164 SENA DE LUNA",           3,
,"24166 SOTO DE LA VEGA",           1,
,"24167 SOTO Y AMIO",           1,
,"24168 TORAL DE LOS GUZMANES",           1,
,"24169 TORENO",           4,
,"24170 TORRE DEL BIERZO",           2,
,"24171 TRABADELO",           1,
,"24172 TRUCHAS",           1,
,"24173 TURCIA",           1,
,"24175 VALDEFRESNO",           6,
,"24177 VALDELUGUEROS",           3,
,"24179 VALDEPIELAGO",           1,
,"24180 VALDEPOLO",           4,
,"24181 VALDERAS",           4,
,"24183 VALDERRUEDA",           2,
,"24184 VALDESAMARIO",           1,
,"24185 VAL DE SAN LORENZO",           1,
,"24187 VALDEVIMBRE",           4,
,"24188 VALENCIA DE DON JUAN",          13,
,"24189 VALVERDE DE LA VIRGEN",          10,
,"24193 VECILLA (LA)",           2,
,"24194 VEGACERVERA",           2,
,"24196 VEGA DE ESPINAREDA",           4,
,"24198 VEGA DE VALCARCE",           3,
,"24199 VEGAQUEMADA",           2,
,"24201 VEGAS DEL CONDADO",           1,
,"24202 VILLABLINO",           8,
,"24205 VILLADANGOS DEL PARAMO",           4,
,"24206 TORAL DE LOS VADOS",           3,
,"24209 VILLAFRANCA DEL BIERZO",           8,
,"24210 VILLAGATON",           2,
,"24212 VILLAMAÑAN",           5,
,"24214 VILLAMEJIL",           2,
,"24222 VILLAQUILAMBRE",          17,
,"24223 VILLAREJO DE ORBIGO",           5,
,"24225 VILLASABARIEGO",           6,
,"24228 VILLAZALA",           1,
,"24901 VILLAMANIN",          11,
,"34001 ABARCA DE CAMPOS",           1,
,"34004 AGUILAR DE CAMPOO",          10,
,"34005 ALAR DEL REY",           2,
,"34010 AMPUDIA",           3,
,"34011 AMUSCO",           1,
,"34012 ANTIGÜEDAD",           2,
,"34017 ASTUDILLO",           2,
,"34022 BALTANAS",           1,
,"34023 VENTA DE BAÑOS",           8,
,"34027 BARRUELO DE SANTULLAN",           4,
,"34034 BOADILLA DEL CAMINO",           1,
,"34036 BRAÑOSERA",           2,
,"34037 BUENAVISTA DE VALDAVIA",           1,
,"34047 CARRION DE LOS CONDES",           8,
,"34055 CERVATOS DE LA CUEZA",           1,
,"34056 CERVERA DE PISUERGA",          10,
,"34059 CISNEROS",           1,
