" Datos Básicos  - Farmacias"
"Datos de: INDICADOR=FARMACIAS"
"FAMILIA INDICADOR",,"SANIDAD",
"INDICADOR",,"FARMACIAS",
,,VALOR,
FECHA,MUNICIPIO,Sum,
"2000","05001 ADANERO",           1,
,"05002 ADRADA (LA)",           1,
,"05008 ALDEASECA",           1,
,"05010 ALDEHUELA (LA)",           1,
,"05013 ARENAL (EL)",           1,
,"05014 ARENAS DE SAN PEDRO",           3,
,"05016 AREVALO",           3,
,"05019 AVILA",          17,
,"05021 BARCO DE AVILA (EL)",           2,
,"05022 BARRACO (EL)",           1,
,"05024 BECEDAS",           1,
,"05027 BERLANAS (LAS)",           1,
,"05037 BOHOYO",           1,
,"05041 BURGOHONDO",           1,
,"05042 CABEZAS DE ALAMBRE",           1,
,"05044 CABEZAS DEL VILLAR",           1,
,"05047 CANDELEDA",           2,
,"05048 CANTIVEROS",           1,
,"05049 CARDEÑOSA",           1,
,"05054 CASAVIEJA",           1,
,"05055 CASILLAS",           1,
,"05057 CEBREROS",           1,
,"05065 CRESPOS",           1,
,"05066 CUEVAS DEL VALLE",           1,
,"05073 FLORES DE AVILA",           1,
,"05074 FONTIVEROS",           1,
,"05076 FRESNO (EL)",           1,
,"05082 GAVILANES",           1,
,"05083 GEMUÑO",           1,
,"05089 GUISANDO",           1,
,"05092 HERNANSANCHO",           1,
,"05093 HERRADON DE PINARES",           1,
,"05094 HERREROS DE SUSO",           1,
,"05095 HIGUERA DE LAS DUEÑAS",           1,
,"05097 HORCAJADA (LA)",           1,
,"05099 HORCAJO DE LAS TORRES",           1,
,"05100 HORNILLO (EL)",           1,
,"05101 HOYOCASERO",           1,
,"05102 HOYO DE PINARES (EL)",           1,
,"05105 HOYOS DEL ESPINO",           1,
,"05109 LANGA",           1,
,"05110 LANZAHITA",           1,
,"05114 MADRIGAL DE LAS ALTAS TORRES",           1,
,"05115 MAELLO",           1,
,"05116 MALPARTIDA DE CORNEJA",           1,
,"05121 MARTIHERRERO",           1,
,"05122 MARTINEZ",           1,
,"05127 MIJARES",           1,
,"05128 MINGORRIA",           1,
,"05131 MIRUEÑA DE LOS INFANZONES",           1,
,"05132 MOMBELTRAN",           1,
,"05135 MUÑANA",           1,
,"05138 MUÑOGALINDO",           1,
,"05152 NAVA DE AREVALO",           1,
,"05158 NAVALMORAL",           1,
,"05159 NAVALONGUILLA",           1,
,"05160 NAVALOSA",           1,
,"05161 NAVALPERAL DE PINARES",           1,
,"05162 NAVALPERAL DE TORMES",           1,
,"05163 NAVALUENGA",           1,
,"05165 NAVARREDONDA DE GREDOS",           1,
,"05166 NAVARREDONDILLA",           1,
,"05167 NAVARREVISCA",           1,
,"05168 NAVAS DEL MARQUES (LAS)",           2,
,"05169 NAVATALGORDO",           1,
,"05172 NIHARRA",           1,
,"05176 PADIERNOS",           1,
,"05178 PALACIOS DE GODA",           1,
,"05179 PAPATRIGO",           1,
,"05182 PEDRO BERNARDO",           1,
,"05184 PEGUERINOS",           1,
,"05186 PIEDRAHITA",           1,
,"05187 PIEDRALAVES",           1,
,"05189 POYALES DEL HOYO",           1,
,"05192 PUERTO CASTILLA",           1,
,"05193 RASUEROS",           1,
,"05201 SAN BARTOLOME DE PINARES",           1,
,"05204 SANCHIDRIAN",           1,
,"05207 SAN ESTEBAN DEL VALLE",           1,
