COD_MUNICIPIO,MUNICIPIO,CLUSTER,NIVEL_VULNERABILIDAD,INDICE_VULNERABILIDAD
42001,42001 ABEJAR,2,Baja,0.2217032967032967
42003,42003 ADRADAS,0,Media,0.4708791208791208
42004,42004 AGREDA,0,Baja,0.2818681318681318
42006,42006 ALCONABA,2,Baja,0.342032967032967
42007,42007 ALCUBILLA DE AVELLANEDA,0,Alta,0.6634615384615385
42008,42008 ALCUBILLA DE LAS PEÑAS,0,Media,0.5046703296703297
42009,42009 ALDEALAFUENTE,2,Baja,0.4010989010989011
42010,42010 ALDEALICES,1,Media,0.5068681318681318
42011,42011 ALDEALPOZO,1,Media,0.546978021978022
42012,42012 ALDEALSEÑOR,1,Media,0.4673076923076923
42013,42013 ALDEHUELA DE PERIAÑEZ,1,Media,0.5648351648351648
42014,42014 ALDEHUELAS (LAS),2,Baja,0.414010989010989
42015,42015 ALENTISQUE,1,Media,0.5565934065934066
42016,42016 ALIUD,2,Baja,0.3521978021978021
42017,42017 ALMAJANO,2,Baja,0.3082417582417582
42018,42018 ALMALUEZ,0,Alta,0.6046703296703296
42019,42019 ALMARZA,2,Baja,0.1521978021978022
42020,42020 ALMAZAN,0,Baja,0.1568681318681318
42021,42021 ALMAZUL,1,Alta,0.6620879120879121
42022,42022 ALMENAR DE SORIA,2,Baja,0.2436813186813186
42023,42023 ALPANSEQUE,1,Alta,0.6758241758241759
42024,42024 ARANCON,1,Media,0.5019230769230769
42025,42025 ARCOS DE JALON,0,Baja,0.3211538461538461
42026,42026 ARENILLAS,1,Media,0.5684065934065934
42027,42027 AREVALO DE LA SIERRA,1,Media,0.475
42028,42028 AUSEJO DE LA SIERRA,2,Baja,0.2357142857142857
42029,42029 BARAONA,0,Media,0.5568681318681319
42030,42030 BARCA,1,Media,0.5137362637362638
42031,42031 BARCONES,1,Alta,0.6936813186813187
42032,42032 BAYUBAS DE ABAJO,1,Media,0.5719780219780219
42033,42033 BAYUBAS DE ARRIBA,1,Alta,0.6173076923076923
42034,42034 BERATON,1,Alta,0.6085164835164836
42035,42035 BERLANGA DE DUERO,0,Baja,0.2859890109890109
42036,42036 BLACOS,1,Alta,0.6277472527472527
42037,42037 BLIECOS,1,Alta,0.6178571428571429
42038,42038 BORJABAD,1,Alta,0.6475274725274726
42039,42039 BOROBIA,0,Baja,0.4137362637362637
42041,42041 BUBEROS,1,Alta,0.6241758241758241
42042,42042 BUITRAGO,2,Baja,0.2675824175824176
42043,42043 BURGO DE OSMA-CIUDAD DE OSMA,0,Baja,0.2288461538461538
42044,42044 CABREJAS DEL CAMPO,1,Media,0.5491758241758242
42045,42045 CABREJAS DEL PINAR,2,Baja,0.2857142857142857
42046,42046 CALATAÑAZOR,2,Media,0.4840659340659341
42048,42048 CALTOJAR,1,Alta,0.631043956043956
42049,42049 CANDILICHERA,1,Media,0.4777472527472528
42050,42050 CAÑAMAQUE,1,Alta,0.6008241758241758
42051,42051 CARABANTES,1,Media,0.5222527472527473
42052,42052 CARACENA,1,Alta,0.8098901098901099
42053,42053 CARRASCOSA DE ABAJO,1,Alta,0.7975274725274726
42054,42054 CARRASCOSA DE LA SIERRA,2,Baja,0.4233516483516483
42055,42055 CASAREJOS,0,Media,0.4571428571428571
42056,42056 CASTILFRIO DE LA SIERRA,2,Baja,0.4035714285714286
42057,42057 CASTILRUIZ,0,Baja,0.3903846153846154
42058,42058 CASTILLEJO DE ROBLEDO,1,Alta,0.6651098901098902
42059,42059 CENTENERA DE ANDALUZ,1,Alta,0.7513736263736264
42060,42060 CERBON,1,Media,0.475
42061,42061 CIDONES,2,Baja,0.2175824175824175
42062,42062 CIGUDOSA,1,Media,0.4733516483516483
42063,42063 CIHUELA,1,Alta,0.7546703296703298
42064,42064 CIRIA,1,Alta,0.6200549450549451
42065,42065 CIRUJALES DEL RIO,1,Media,0.5502747252747253
42068,42068 COSCURITA,1,Media,0.564010989010989
42069,42069 COVALEDA,0,Baja,0.3332417582417583
42070,42070 CUBILLA,1,Alta,0.6096153846153846
42071,42071 CUBO DE LA SOLANA,2,Baja,0.4236263736263736
42073,42073 CUEVA DE AGREDA,1,Alta,0.6085164835164836
42075,42075 DEVANOS,1,Alta,0.5920329670329669
42076,42076 DEZA,0,Media,0.503021978021978
42078,42078 DURUELO DE LA SIERRA,0,Baja,0.3434065934065934
42079,42079 ESCOBOSA DE ALMAZAN,1,Alta,0.7365384615384616
42080,42080 ESPEJA DE SAN MARCELINO,0,Media,0.5494505494505495
42081,42081 ESPEJON,0,Media,0.5291208791208791
42082,42082 ESTEPA DE SAN JUAN,2,Baja,0.3923076923076923
42083,42083 FRECHILLA DE ALMAZAN,1,Alta,0.728021978021978
42084,42084 FRESNO DE CARACENA,1,Alta,0.7508241758241758
42085,42085 FUENTEARMEGIL,1,Alta,0.6494505494505495
42086,42086 FUENTECAMBRON,1,Alta,0.5934065934065934
42087,42087 FUENTECANTOS,2,Baja,0.3035714285714286
42088,42088 FUENTELMONGE,1,Alta,0.618956043956044
42089,42089 FUENTELSAZ DE SORIA,2,Baja,0.3587912087912088
42090,42090 FUENTEPINILLA,1,Media,0.5618131868131868
42092,42092 FUENTES DE MAGAÑA,1,Alta,0.5947802197802199
42093,42093 FUENTESTRUN,1,Media,0.5414835164835164
42094,42094 GARRAY,2,Baja,0.148076923076923
42095,42095 GOLMAYO,2,Baja,0.0458791208791208
42096,42096 GOMARA,2,Baja,0.3164835164835165
42097,42097 GORMAZ,1,Media,0.5689560439560439
42098,42098 HERRERA DE SORIA,1,Alta,0.7612637362637363
42100,42100 HINOJOSA DEL CAMPO,1,Alta,0.6942307692307693
42103,42103 LANGA DE DUERO,0,Baja,0.3472527472527472
42105,42105 LICERAS,1,Alta,0.6178571428571429
42106,42106 LOSILLA (LA),1,Media,0.557967032967033
42107,42107 MAGAÑA,2,Media,0.4365384615384615
42108,42108 MAJAN,1,Alta,0.7898351648351649
