FECHA,COD_MUNICIPIO,MUNICIPIO,POBLACION_MUJERES,POBLACION_HOMBRES,EMIGRACIONES CON DESTINO A LA MISMA PROVINCIA,INMIGRACIONES PROCEDENTES DE LA MISMA PROVINCIA,EMIGRACIONES CON DESTINO A OTRA PROVINCIA DE CASTILLA Y LEÓN,INMIGRACIONES PROCEDENTES DE OTRA PROVINCIA DE CASTILLA Y LEÓN,EMIGRACIONES CON DESTINO A OTRAS COMUNIDADES AUTÓNOMAS,INMIGRACIONES PROCEDENTES DE OTRAS COMUNIDADES AUTÓNOMAS,EMIGRACIONES CON DESTINO A OTROS PAÍSES
2005,42001,42001 ABEJAR,187,205,7.0,13.0,1.0,5.0,3.0,11.0,0.0
2005,42003,42003 ADRADAS,37,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005,42004,42004 AGREDA,1599,1617,24.0,25.0,2.0,2.0,70.0,56.0,1.0
2005,42006,42006 ALCONABA,69,102,9.0,1.0,0.0,0.0,1.0,0.0,0.0
2005,42007,42007 ALCUBILLA DE AVELLANEDA,93,90,4.0,1.0,3.0,2.0,2.0,3.0,0.0
2005,42008,42008 ALCUBILLA DE LAS PEÑAS,35,37,3.0,1.0,0.0,0.0,1.0,0.0,0.0
2005,42009,42009 ALDEALAFUENTE,58,66,2.0,0.0,1.0,0.0,0.0,0.0,0.0
2005,42010,42010 ALDEALICES,16,12,1.0,2.0,0.0,0.0,0.0,0.0,0.0
2005,42011,42011 ALDEALPOZO,14,13,2.0,1.0,0.0,0.0,0.0,0.0,0.0
2005,42012,42012 ALDEALSEÑOR,18,25,2.0,2.0,0.0,0.0,0.0,1.0,0.0
2005,42013,42013 ALDEHUELA DE PERIAÑEZ,23,25,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2005,42014,42014 ALDEHUELAS (LAS),47,51,2.0,6.0,0.0,0.0,0.0,1.0,0.0
2005,42015,42015 ALENTISQUE,23,19,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2005,42016,42016 ALIUD,13,15,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2005,42017,42017 ALMAJANO,99,125,18.0,15.0,3.0,0.0,9.0,1.0,0.0
2005,42018,42018 ALMALUEZ,115,128,7.0,0.0,0.0,0.0,3.0,2.0,0.0
2005,42019,42019 ALMARZA,294,373,38.0,21.0,0.0,1.0,31.0,13.0,0.0
2005,42020,42020 ALMAZAN,2875,2852,70.0,65.0,17.0,14.0,76.0,85.0,4.0
2005,42021,42021 ALMAZUL,61,70,6.0,1.0,2.0,0.0,2.0,0.0,0.0
2005,42022,42022 ALMENAR DE SORIA,158,177,8.0,14.0,0.0,0.0,3.0,5.0,0.0
2005,42023,42023 ALPANSEQUE,44,49,1.0,0.0,0.0,0.0,0.0,3.0,0.0
2005,42024,42024 ARANCON,47,63,7.0,2.0,0.0,0.0,1.0,0.0,0.0
