COD_MUNICIPIO,MUNICIPIO,NIVEL_VULNERABILIDAD
42001,42001 ABEJAR,Baja
42003,42003 ADRADAS,Media
42004,42004 AGREDA,Baja
42006,42006 ALCONABA,Baja
42007,42007 ALCUBILLA DE AVELLANEDA,Alta
42008,42008 ALCUBILLA DE LAS PEÑAS,Media
42009,42009 ALDEALAFUENTE,Baja
42010,42010 ALDEALICES,Media
42011,42011 ALDEALPOZO,Media
42012,42012 ALDEALSEÑOR,Media
42013,42013 ALDEHUELA DE PERIAÑEZ,Media
42014,42014 ALDEHUELAS (LAS),Baja
42015,42015 ALENTISQUE,Media
42016,42016 ALIUD,Baja
42017,42017 ALMAJANO,Baja
42018,42018 ALMALUEZ,Alta
42019,42019 ALMARZA,Baja
42020,42020 ALMAZAN,Baja
42021,42021 ALMAZUL,Alta
42022,42022 ALMENAR DE SORIA,Baja
42023,42023 ALPANSEQUE,Alta
42024,42024 ARANCON,Media
42025,42025 ARCOS DE JALON,Baja
42026,42026 ARENILLAS,Media
42027,42027 AREVALO DE LA SIERRA,Media
42028,42028 AUSEJO DE LA SIERRA,Baja
42029,42029 BARAONA,Media
42030,42030 BARCA,Media
42031,42031 BARCONES,Alta
42032,42032 BAYUBAS DE ABAJO,Media
42033,42033 BAYUBAS DE ARRIBA,Alta
42034,42034 BERATON,Alta
42035,42035 BERLANGA DE DUERO,Baja
42036,42036 BLACOS,Alta
42037,42037 BLIECOS,Alta
42038,42038 BORJABAD,Alta
42039,42039 BOROBIA,Baja
42041,42041 BUBEROS,Alta
42042,42042 BUITRAGO,Baja
42043,42043 BURGO DE OSMA-CIUDAD DE OSMA,Baja
42044,42044 CABREJAS DEL CAMPO,Media
42045,42045 CABREJAS DEL PINAR,Baja
42046,42046 CALATAÑAZOR,Media
42048,42048 CALTOJAR,Alta
42049,42049 CANDILICHERA,Media
42050,42050 CAÑAMAQUE,Alta
42051,42051 CARABANTES,Media
42052,42052 CARACENA,Alta
42053,42053 CARRASCOSA DE ABAJO,Alta
42054,42054 CARRASCOSA DE LA SIERRA,Baja
42055,42055 CASAREJOS,Media
42056,42056 CASTILFRIO DE LA SIERRA,Baja
42057,42057 CASTILRUIZ,Baja
42058,42058 CASTILLEJO DE ROBLEDO,Alta
42059,42059 CENTENERA DE ANDALUZ,Alta
42060,42060 CERBON,Media
42061,42061 CIDONES,Baja
42062,42062 CIGUDOSA,Media
42063,42063 CIHUELA,Alta
42064,42064 CIRIA,Alta
42065,42065 CIRUJALES DEL RIO,Media
42068,42068 COSCURITA,Media
42069,42069 COVALEDA,Baja
42070,42070 CUBILLA,Alta
42071,42071 CUBO DE LA SOLANA,Baja
42073,42073 CUEVA DE AGREDA,Alta
42075,42075 DEVANOS,Alta
42076,42076 DEZA,Media
42078,42078 DURUELO DE LA SIERRA,Baja
42079,42079 ESCOBOSA DE ALMAZAN,Alta
42080,42080 ESPEJA DE SAN MARCELINO,Media
42081,42081 ESPEJON,Media
42082,42082 ESTEPA DE SAN JUAN,Baja
42083,42083 FRECHILLA DE ALMAZAN,Alta
42084,42084 FRESNO DE CARACENA,Alta
42085,42085 FUENTEARMEGIL,Alta
42086,42086 FUENTECAMBRON,Alta
42087,42087 FUENTECANTOS,Baja
42088,42088 FUENTELMONGE,Alta
42089,42089 FUENTELSAZ DE SORIA,Baja
42090,42090 FUENTEPINILLA,Media
42092,42092 FUENTES DE MAGAÑA,Alta
42093,42093 FUENTESTRUN,Media
42094,42094 GARRAY,Baja
42095,42095 GOLMAYO,Baja
42096,42096 GOMARA,Baja
42097,42097 GORMAZ,Media
42098,42098 HERRERA DE SORIA,Alta
42100,42100 HINOJOSA DEL CAMPO,Alta
42103,42103 LANGA DE DUERO,Baja
42105,42105 LICERAS,Alta
42106,42106 LOSILLA (LA),Media
42107,42107 MAGAÑA,Media
42108,42108 MAJAN,Alta
42110,42110 MATALEBRERAS,Media
42111,42111 MATAMALA DE ALMAZAN,Baja
42113,42113 MEDINACELI,Baja
42115,42115 MIÑO DE MEDINACELI,Media
42116,42116 MIÑO DE SAN ESTEBAN,Alta
42117,42117 MOLINOS DE DUERO,Baja
42118,42118 MOMBLONA,Alta
42119,42119 MONTEAGUDO DE LAS VICARIAS,Baja
42120,42120 MONTEJO DE TIERMES,Media
42121,42121 MONTENEGRO DE CAMEROS,Alta
42123,42123 MORON DE ALMAZAN,Baja
42124,42124 MURIEL DE LA FUENTE,Media
42125,42125 MURIEL VIEJO,Baja
42127,42127 NAFRIA DE UCERO,Alta
42128,42128 NARROS,Baja
42129,42129 NAVALENO,Baja
42130,42130 NEPAS,Alta
42131,42131 NOLAY,Media
42132,42132 NOVIERCAS,Baja
42134,42134 OLVEGA,Baja
42135,42135 ONCALA,Alta
42139,42139 PINILLA DEL CAMPO,Alta
42140,42140 PORTILLO DE SORIA,Alta
42141,42141 POVEDA DE SORIA (LA),Baja
42142,42142 POZALMURO,Baja
42144,42144 QUINTANA REDONDA,Baja
42145,42145 QUINTANAS DE GORMAZ,Media
42148,42148 QUIÑONERIA,Alta
42149,42149 RABANOS (LOS),Baja
42151,42151 REBOLLAR,Baja
42152,42152 RECUERDA,Media
42153,42153 RELLO,Alta
42154,42154 RENIEBLAS,Baja
42155,42155 RETORTILLO DE SORIA,Alta
42156,42156 REZNOS,Alta
42157,42157 RIBA DE ESCALOTE (LA),Alta
42158,42158 RIOSECO DE SORIA,Baja
42159,42159 ROLLAMIENTA,Media
42160,42160 ROYO (EL),Baja
42161,42161 SALDUERO,Media
42162,42162 SAN ESTEBAN DE GORMAZ,Baja
42163,42163 SAN FELICES,Media
42164,42164 SAN LEONARDO DE YAGÜE,Baja
42165,42165 SAN PEDRO MANRIQUE,Baja
42166,42166 SANTA CRUZ DE YANGUAS,Media
42167,42167 SANTA MARIA DE HUERTA,Media
42168,42168 SANTA MARIA DE LAS HOYAS,Alta
42171,42171 SERON DE NAGIMA,Media
42172,42172 SOLIEDRA,Alta
42174,42174 SOTILLO DEL RINCON,Baja
42175,42175 SUELLACABRAS,Media
42176,42176 TAJAHUERCE,Alta
42177,42177 TAJUECO,Alta
42178,42178 TALVEILA,Media
42181,42181 TARDELCUENDE,Baja
42182,42182 TARODA,Media
42183,42183 TEJADO,Media
42184,42184 TORLENGUA,Alta
42185,42185 TORREBLACOS,Media
42187,42187 TORRUBIA DE SORIA,Media
42188,42188 TREVAGO,Media
42189,42189 UCERO,Media
42190,42190 VADILLO,Media
42191,42191 VALDEAVELLANO DE TERA,Baja
42192,42192 VALDEGEÑA,Media
42193,42193 VALDELAGUA DEL CERRO,Alta
42194,42194 VALDEMALUQUE,Media
42195,42195 VALDENEBRO,Alta
42196,42196 VALDEPRADO,Alta
42197,42197 VALDERRODILLA,Alta
42198,42198 VALTAJEROS,Alta
42200,42200 VELAMAZAN,Media
42201,42201 VELILLA DE LA SIERRA,Media
42202,42202 VELILLA DE LOS AJOS,Alta
42204,42204 VIANA DE DUERO,Media
42205,42205 VILLACIERVOS,Baja
42206,42206 VILLANUEVA DE GORMAZ,Alta
42207,42207 VILLAR DEL ALA,Baja
42208,42208 VILLAR DEL CAMPO,Media
42209,42209 VILLAR DEL RIO,Baja
42211,42211 VILLARES DE SORIA (LOS),Baja
42212,42212 VILLASAYAS,Media
42213,42213 VILLASECA DE ARCIEL,Alta
42215,42215 VINUESA,Baja
42216,42216 VIZMANOS,Media
42217,42217 VOZMEDIANO,Alta
42218,42218 YANGUAS,Baja
42219,42219 YELO,Alta
