COD_MUNICIPIO,MUNICIPIO,POBLACION_TOTAL,PROP_ENVEJECIMIENTO,EMPRESAS,SERVICIOS_SANIDAD,ESCUELAS,DISTANCIA_CAPITAL,POBLACION_2030_PROY,VAR_2024_2030,VAR_2024_2030_PCT,VAR_2024_2030_PCT_PCT,PROP_ENVEJECIMIENTO_PCT,EMPRESAS_PCT,SERVICIOS_SANIDAD_PCT,ESCUELAS_PCT,DISTANCIA_CAPITAL_PCT,DIM_DEMOGRAFICA,DIM_ECONOMICA,DIM_SERVICIOS,DIM_ACCESIBILIDAD,DIM_DINAMICA_FUTURA,INDICE_VULNERABILIDAD,NIVEL_VULNERABILIDAD
42001,42001 ABEJAR,386,0.248041775456919,23.0,1.0,0.0,27.4,291,-95,-24.61139896373057,0.08791208791208792,0.11538461538461539,0.10989010989010994,0.6785714285714286,0.554945054945055,0.17857142857142858,0.11538461538461539,0.10989010989010994,0.6167582417582418,0.17857142857142858,0.08791208791208792,0.22170329670329672,Baja
42003,42003 ADRADAS,58,0.328125,8.0,2.0,0.0,54.3,74,16,27.586206896551722,0.6868131868131868,0.3269230769230769,0.28296703296703296,0.3296703296703297,0.554945054945055,0.6153846153846154,0.3269230769230769,0.28296703296703296,0.44230769230769235,0.6153846153846154,0.6868131868131868,0.47087912087912087,Media
42004,42004 AGREDA,3094,0.2567260940032415,186.0,2.0,3.0,57.1,3179,85,2.7472527472527473,0.38461538461538464,0.13186813186813187,0.02197802197802201,0.3296703296703297,0.038461538461538436,0.6868131868131868,0.13186813186813187,0.02197802197802201,0.18406593406593408,0.6868131868131868,0.38461538461538464,0.28186813186813187,Baja
42006,42006 ALCONABA,199,0.2985074626865671,11.0,4.0,0.0,13.0,407,208,104.52261306532664,0.9340659340659341,0.21428571428571427,0.19780219780219777,0.11813186813186816,0.554945054945055,0.027472527472527472,0.21428571428571427,0.19780219780219777,0.33653846153846156,0.027472527472527472,0.9340659340659341,0.34203296703296704,Baja
42007,42007 ALCUBILLA DE AVELLANEDA,107,0.5188679245283019,5.0,4.0,0.0,78.9,160,53,49.532710280373834,0.8186813186813187,0.8626373626373627,0.3626373626373627,0.11813186813186816,0.554945054945055,0.9368131868131868,0.8626373626373627,0.3626373626373627,0.33653846153846156,0.9368131868131868,0.8186813186813187,0.6634615384615385,Alta
42008,42008 ALCUBILLA DE LAS PEÑAS,59,0.3220338983050847,8.0,3.0,0.0,68.5,79,20,33.89830508474576,0.7472527472527473,0.3021978021978022,0.28296703296703296,0.18956043956043955,0.554945054945055,0.8186813186813187,0.3021978021978022,0.28296703296703296,0.37225274725274726,0.8186813186813187,0.7472527472527473,0.5046703296703297,Media
42009,42009 ALDEALAFUENTE,83,0.3720930232558139,4.0,2.0,0.0,25.1,94,11,13.253012048192772,0.532967032967033,0.47802197802197804,0.40934065934065933,0.3296703296703297,0.554945054945055,0.14285714285714285,0.47802197802197804,0.40934065934065933,0.44230769230769235,0.14285714285714285,0.532967032967033,0.4010989010989011,Baja
42010,42010 ALDEALICES,20,0.5,0.0,1.0,0.0,26.8,18,-2,-10.0,0.1978021978021978,0.8324175824175825,0.717032967032967,0.6785714285714286,0.554945054945055,0.17032967032967034,0.8324175824175825,0.717032967032967,0.6167582417582418,0.17032967032967034,0.1978021978021978,0.5068681318681318,Media
42011,42011 ALDEALPOZO,18,0.3333333333333333,0.0,1.0,0.0,29.2,28,10,55.55555555555556,0.8516483516483516,0.34615384615384615,0.717032967032967,0.6785714285714286,0.554945054945055,0.2032967032967033,0.34615384615384615,0.717032967032967,0.6167582417582418,0.2032967032967033,0.8516483516483516,0.546978021978022,Media
42012,42012 ALDEALSEÑOR,28,0.3571428571428571,0.0,1.0,0.0,23.9,30,2,7.142857142857142,0.4423076923076923,0.43956043956043955,0.717032967032967,0.6785714285714286,0.554945054945055,0.12087912087912088,0.43956043956043955,0.717032967032967,0.6167582417582418,0.12087912087912088,0.4423076923076923,0.4673076923076923,Media
42013,42013 ALDEHUELA DE PERIAÑEZ,30,0.4,0.0,0.0,0.0,21.6,39,9,30.0,0.7060439560439561,0.5659340659340659,0.717032967032967,0.9615384615384616,0.554945054945055,0.07692307692307693,0.5659340659340659,0.717032967032967,0.7582417582417582,0.07692307692307693,0.7060439560439561,0.5648351648351648,Media
42014,42014 ALDEHUELAS (LAS),60,0.0,0.0,3.0,0.0,34.5,77,17,28.333333333333332,0.6978021978021978,0.01098901098901099,0.717032967032967,0.18956043956043955,0.554945054945055,0.27197802197802196,0.01098901098901099,0.717032967032967,0.37225274725274726,0.27197802197802196,0.6978021978021978,0.41401098901098904,Baja
42015,42015 ALENTISQUE,24,0.0,0.0,2.0,0.0,56.5,50,26,108.33333333333333,0.9395604395604396,0.01098901098901099,0.717032967032967,0.3296703296703297,0.554945054945055,0.6730769230769231,0.01098901098901099,0.717032967032967,0.44230769230769235,0.6730769230769231,0.9395604395604396,0.5565934065934066,Media
