COD_MUNICIPIO,MUNICIPIO,FECHA,cooks_distance
42001,42001 ABEJAR,2012,0.012026412839579293
42020,42020 ALMAZAN,2012,0.01955939892892435
42025,42025 ARCOS DE JALON,2012,0.005254541865510474
42043,42043 BURGO DE OSMA-CIUDAD DE OSMA,2012,0.07717920521161042
42061,42061 CIDONES,2012,0.009987976897427824
42078,42078 DURUELO DE LA SIERRA,2012,0.0020577052788088817
42095,42095 GOLMAYO,2012,0.021777001564564958
42113,42113 MEDINACELI,2012,0.0362607861450092
42134,42134 OLVEGA,2012,0.07542258373825879
42162,42162 SAN ESTEBAN DE GORMAZ,2012,0.004853813302703585
42164,42164 SAN LEONARDO DE YAGÜE,2012,0.004256211637247462
42215,42215 VINUESA,2012,0.006182120168526723
42001,42001 ABEJAR,2013,0.008249717203974286
42020,42020 ALMAZAN,2013,0.0356003724836486
42025,42025 ARCOS DE JALON,2013,0.0019749826104125587
42043,42043 BURGO DE OSMA-CIUDAD DE OSMA,2013,0.05965340189094114
42061,42061 CIDONES,2013,0.012183811403378512
42078,42078 DURUELO DE LA SIERRA,2013,0.0032141592336630484
42095,42095 GOLMAYO,2013,0.026731760113337312
42113,42113 MEDINACELI,2013,0.036394552374229325
42134,42134 OLVEGA,2013,0.05291018462265507
42162,42162 SAN ESTEBAN DE GORMAZ,2013,0.010445743223417412
42164,42164 SAN LEONARDO DE YAGÜE,2013,0.018143945728996556
42215,42215 VINUESA,2013,0.015199625482965412
42001,42001 ABEJAR,2014,0.007474009387349408
42020,42020 ALMAZAN,2014,0.06032498835804831
42043,42043 BURGO DE OSMA-CIUDAD DE OSMA,2014,0.08673100276877563
42061,42061 CIDONES,2014,0.014575125524062513
42078,42078 DURUELO DE LA SIERRA,2014,0.003454098640818118
42095,42095 GOLMAYO,2014,0.03380690275317552
42113,42113 MEDINACELI,2014,0.05577011848639446
42134,42134 OLVEGA,2014,0.059974889457339975
42162,42162 SAN ESTEBAN DE GORMAZ,2014,0.002412153716279247
42164,42164 SAN LEONARDO DE YAGÜE,2014,0.014830682790380773
42215,42215 VINUESA,2014,0.014486109115985961
42001,42001 ABEJAR,2015,0.006418062190809741
42020,42020 ALMAZAN,2015,0.12335881596629035
42025,42025 ARCOS DE JALON,2015,0.005217880306917214
42043,42043 BURGO DE OSMA-CIUDAD DE OSMA,2015,0.05227557091048998
42061,42061 CIDONES,2015,0.009036623889657291
42078,42078 DURUELO DE LA SIERRA,2015,0.005595875020984804
42095,42095 GOLMAYO,2015,0.04276510454520113
42113,42113 MEDINACELI,2015,0.06074058043082173
42134,42134 OLVEGA,2015,0.02530535267600828
42164,42164 SAN LEONARDO DE YAGÜE,2015,0.006513577733494521
42215,42215 VINUESA,2015,0.023494454034901014
42001,42001 ABEJAR,2016,0.004969464507009769
42004,42004 AGREDA,2016,0.004299879892552726
42020,42020 ALMAZAN,2016,0.05718272824953478
42025,42025 ARCOS DE JALON,2016,0.004926627257658379
42043,42043 BURGO DE OSMA-CIUDAD DE OSMA,2016,0.06003605649816844
42061,42061 CIDONES,2016,0.005287251578053182
42078,42078 DURUELO DE LA SIERRA,2016,0.004664541049985097
42095,42095 GOLMAYO,2016,0.019517388615515576
42113,42113 MEDINACELI,2016,0.043787212160089226
42134,42134 OLVEGA,2016,0.01386075265381592
42164,42164 SAN LEONARDO DE YAGÜE,2016,0.0060963504095335195
42165,42165 SAN PEDRO MANRIQUE,2016,0.0018453489089467674
42215,42215 VINUESA,2016,0.019887750569247967
42001,42001 ABEJAR,2017,0.003389422872290445
42020,42020 ALMAZAN,2017,0.05086698555014502
42025,42025 ARCOS DE JALON,2017,0.015210877318739994
42043,42043 BURGO DE OSMA-CIUDAD DE OSMA,2017,0.09192164503508665
42061,42061 CIDONES,2017,0.004909489779878148
42095,42095 GOLMAYO,2017,0.022569224991776937
42113,42113 MEDINACELI,2017,0.026226918131243795
42134,42134 OLVEGA,2017,0.015528732281270852
42144,42144 QUINTANA REDONDA,2017,0.0017128688092861429
42162,42162 SAN ESTEBAN DE GORMAZ,2017,0.00511668606644174
42164,42164 SAN LEONARDO DE YAGÜE,2017,0.008292158961183724
42215,42215 VINUESA,2017,0.015311444345043616
42001,42001 ABEJAR,2018,0.003924307246816837
42004,42004 AGREDA,2018,0.002687319169829459
42010,42010 ALDEALICES,2018,0.0017776536127541446
42020,42020 ALMAZAN,2018,0.03850993489697808
42025,42025 ARCOS DE JALON,2018,0.004852898708943633
42043,42043 BURGO DE OSMA-CIUDAD DE OSMA,2018,0.09053021672327313
42061,42061 CIDONES,2018,0.0029973637054221186
42094,42094 GARRAY,2018,0.002200346977824059
42095,42095 GOLMAYO,2018,0.020629561919779466
42113,42113 MEDINACELI,2018,0.030665917896614606
42134,42134 OLVEGA,2018,0.02687078488354163
42164,42164 SAN LEONARDO DE YAGÜE,2018,0.00692802456271049
42215,42215 VINUESA,2018,0.01451973715493464
42001,42001 ABEJAR,2019,0.0033411677106955336
42004,42004 AGREDA,2019,0.009402143392438035
42020,42020 ALMAZAN,2019,0.02648173423241876
42025,42025 ARCOS DE JALON,2019,0.0031230031947823184
42043,42043 BURGO DE OSMA-CIUDAD DE OSMA,2019,0.0838259934438174
42061,42061 CIDONES,2019,0.0027726683912110478
42078,42078 DURUELO DE LA SIERRA,2019,0.010756074766622492
42094,42094 GARRAY,2019,0.0023463579657915686
42095,42095 GOLMAYO,2019,0.009297541614185669
42103,42103 LANGA DE DUERO,2019,0.0017106411365499336
42113,42113 MEDINACELI,2019,0.027443578613336992
42134,42134 OLVEGA,2019,0.0326055567127831
42164,42164 SAN LEONARDO DE YAGÜE,2019,0.006290366947160268
42215,42215 VINUESA,2019,0.021448842864000717
42001,42001 ABEJAR,2020,0.0026858636615158626
42004,42004 AGREDA,2020,0.0017506840222035957
42020,42020 ALMAZAN,2020,0.01054163282753951
42025,42025 ARCOS DE JALON,2020,0.002781157029499071
42043,42043 BURGO DE OSMA-CIUDAD DE OSMA,2020,0.07211722259843657
42078,42078 DURUELO DE LA SIERRA,2020,0.010008972847324302
42095,42095 GOLMAYO,2020,0.004960996085496848
42113,42113 MEDINACELI,2020,0.02621219267381177
42134,42134 OLVEGA,2020,0.04266221537353433
42162,42162 SAN ESTEBAN DE GORMAZ,2020,0.012233921616536232
