COD_MUNICIPIO,MUNICIPIO,FECHA,POBLACION_PROYECTADA,ESCENARIO
42001,42001 ABEJAR,2025,298,NEUTRO
42001,42001 ABEJAR,2025,295,PESIMISTA
42001,42001 ABEJAR,2026,297,NEUTRO
42001,42001 ABEJAR,2026,291,PESIMISTA
42001,42001 ABEJAR,2027,295,NEUTRO
42001,42001 ABEJAR,2027,287,PESIMISTA
42001,42001 ABEJAR,2028,294,NEUTRO
42001,42001 ABEJAR,2028,282,PESIMISTA
42001,42001 ABEJAR,2029,292,NEUTRO
42001,42001 ABEJAR,2029,278,PESIMISTA
42001,42001 ABEJAR,2030,291,NEUTRO
42001,42001 ABEJAR,2030,274,PESIMISTA
42001,42001 ABEJAR,2031,289,NEUTRO
42001,42001 ABEJAR,2031,270,PESIMISTA
42003,42003 ADRADAS,2025,75,NEUTRO
42003,42003 ADRADAS,2025,75,PESIMISTA
42003,42003 ADRADAS,2026,75,NEUTRO
42003,42003 ADRADAS,2026,73,PESIMISTA
42003,42003 ADRADAS,2027,75,NEUTRO
42003,42003 ADRADAS,2027,72,PESIMISTA
42003,42003 ADRADAS,2028,74,NEUTRO
42003,42003 ADRADAS,2028,71,PESIMISTA
42003,42003 ADRADAS,2029,74,NEUTRO
42003,42003 ADRADAS,2029,70,PESIMISTA
42003,42003 ADRADAS,2030,74,NEUTRO
42003,42003 ADRADAS,2030,69,PESIMISTA
42003,42003 ADRADAS,2031,73,NEUTRO
42003,42003 ADRADAS,2031,68,PESIMISTA
42004,42004 AGREDA,2025,3259,NEUTRO
42004,42004 AGREDA,2025,3226,PESIMISTA
42004,42004 AGREDA,2026,3243,NEUTRO
42004,42004 AGREDA,2026,3178,PESIMISTA
42004,42004 AGREDA,2027,3227,NEUTRO
42004,42004 AGREDA,2027,3130,PESIMISTA
42004,42004 AGREDA,2028,3211,NEUTRO
42004,42004 AGREDA,2028,3083,PESIMISTA
42004,42004 AGREDA,2029,3195,NEUTRO
42004,42004 AGREDA,2029,3037,PESIMISTA
42004,42004 AGREDA,2030,3179,NEUTRO
42004,42004 AGREDA,2030,2992,PESIMISTA
42004,42004 AGREDA,2031,3163,NEUTRO
42004,42004 AGREDA,2031,2947,PESIMISTA
42006,42006 ALCONABA,2025,417,NEUTRO
42006,42006 ALCONABA,2025,413,PESIMISTA
42006,42006 ALCONABA,2026,415,NEUTRO
42006,42006 ALCONABA,2026,407,PESIMISTA
42006,42006 ALCONABA,2027,413,NEUTRO
42006,42006 ALCONABA,2027,401,PESIMISTA
42006,42006 ALCONABA,2028,411,NEUTRO
42006,42006 ALCONABA,2028,395,PESIMISTA
42006,42006 ALCONABA,2029,409,NEUTRO
42006,42006 ALCONABA,2029,389,PESIMISTA
42006,42006 ALCONABA,2030,407,NEUTRO
42006,42006 ALCONABA,2030,383,PESIMISTA
42006,42006 ALCONABA,2031,405,NEUTRO
42006,42006 ALCONABA,2031,377,PESIMISTA
42007,42007 ALCUBILLA DE AVELLANEDA,2025,164,NEUTRO
